"id","spotify_track_id","name","album","release_date"
USCM51100321,"4Js8nxfvkO1oKyFxZXpQHX",It's Good,Tha Carter IV (Explicit Version),2011-08-29
USSM11102908,"1z6WtY7X4HQJvzxC4UgkSf",Love On Top,"4",2011-06-24
USCM51100305,"6i9iJpCAewQFbNnwfVXyIa",MegaMan,Tha Carter IV (Explicit Version),2011-08-29
USCM51100327,"5hUYsaOyMY32yjRXeuQwGj",Mirror,Tha Carter IV (Complete Edition),2011-08-29
NLA322000342,"4ozBdncjTFpDqzpREZ4LR4",My Body,Young The Giant (10th Anniversary Edition),2010-10-25
USCM51100307,"1Kf4W71YA8qucJLM4R2OJI",Nightmares Of The Bottom,Tha Carter IV (Explicit Version),2011-08-29
USCM51100319,"1Mx0rZXt5D5MOsGaO1kyg9",President Carter,Tha Carter IV (Explicit Version),2011-01-01
USUM71108090,"0obBFrPYkSoBJbvHfUIhkv",Sexy And I Know It,Sorry For Party Rocking (Deluxe Version),2011-01-01
USCM51100317,"3yZc4ELPOHmi7xFvQ31xwq",So Special,Tha Carter IV (Explicit Version),2011-01-01
GB28K1100029,"6JOlNkT0QdHeZB0wPbI9IR",Turn Me On,Nothing but the Beat 2.0,2011-08-24
GB28K1100030,"1tAutlhI9FwnKn7fVgmd5P",Without You,Nothing but the Beat 2.0,2011-08-24
