id,name,genres,followers,musicbrainz_id,type,country_of_origin,date_of_origin,year_of_origin,disambiguation,needs_review
4TshyQDihSYXSWqvclXl3I,Parmalee,['country'],327367.0,66980f96-2716-48e6-88c2-cbbb81b8e888,Group,US,,,,False
7qRll6DYV06u2VuRPAVqug,Foxes,[],315764.0,19fccfa3-84ad-42b2-b52d-d5d9a5a6046e,Person,GB,,1989-04-29,UK pop singer-songwriter Louisa Rose Allen,False
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,['rap'],27367465.0,569c0d90-28dd-413b-83e4-aaa7c27e667b,Person,GB,,1965-07-31,English novelist,False
0TImkz4nPqjegtVSMZnMRq,TLC,[],4564614.0,99790314-885a-4975-8614-9c5bc890364d,Group,US,,1991,US pop/R&B trio,False
6xfqnpe2HnLVUaYXs2F8YS,Anna Kendrick,"[""children's music""]",395551.0,381086ea-f511-4aba-bdf9-71c753dc5077,Person,US,,1987-06-17,,False
3MHaV05u0io8fQbZ2XPtlC,Prince Royce,"['bachata', 'latin']",8788919.0,070d193a-845c-479f-980e-bef15710653e,Person,US,,1958-06-07,“The Artist Formerly Known as…”,False
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,[],58743238.0,012151a8-0f9a-44c9-997f-ebd68b5389f9,Group,US,,2008,American pop rock band,False
06HL4z0CvFAxyc27GXpf02,Taylor Swift,[],148316164.0,20244d07-534f-4eff-b4d4-930878889970,Person,US,,1989-12-13,,False
6d47Z08T4snK50HgTEHo5Z,Sage The Gemini,['hyphy'],927852.0,c211af3d-65e0-46a7-ac49-6c84837a0d16,Person,US,,1992-06-20,,False
2ZavqCJe7uqkRpISes0NFi,Iamsu!,['hyphy'],286633.0,efa81d5c-b900-480a-b27f-0a66e48792de,Person,US,,1989-11-17,,False
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,"['french house', 'electronic', 'electro']",11019074.0,056e4f3e-d505-4dad-8ec1-d04f521cbb56,Group,FR,,1993,French electronic duo,False
3yDIp0kaq9EFKe07X1X2rz,Nile Rodgers,[],217478.0,c6d571dd-c0ae-4ac8-9500-780b1b9b25e5,Person,US,,1952-09-19,,False
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,"['hip hop', 'west coast hip hop']",45526326.0,381086ea-f511-4aba-bdf9-71c753dc5077,Person,US,,1987-06-17,,False
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,[],77065599.0,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,Person,US,,1985-10-08,US singer,False
5ndkK3dpZLKtBklKjxNQwT,B.o.B,[],2334152.0,72c536dc-7137-4477-a521-567eeb840fa8,Person,US,,1941-05-24,,False
4HzKw8XcD0piJmDrrPRCYk,Majid Jordan,[],1021981.0,abaa7001-0d80-4e58-be5d-d2d246fd9d87,Group,CA,,2011,,False
3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,"['hip hop', 'east coast hip hop', 'rap']",10588121.0,f82bcf78-5b69-4622-a5ef-73800768d9ac,Person,US,,1969-12-04,US rapper,False
1RyvyyTE3xzB2ZywiAwp0i,Future,['rap'],23146869.0,48262e82-db9f-4a92-b650-dfef979b73ec,Person,US,,1983-11-20,US rapper Nayvadius Cash,False
19Fi1Rj7kk8kyiwxpXy3yM,August Alsina,['r&b'],2766054.0,7c24178a-8658-4e7f-889f-82013f8fd3f6,Person,US,,1992-09-03,,False
0I5HubncQ8E1MFZOlPDY4J,Trinidad James,[],334376.0,0b7ee619-16ed-4e60-b871-6a2111c12b76,Person,DE,,1929-04-17,"German big band leader & composer, 1929–2015",False
6If57j6e3TXXk0HiLcIZca,Sevyn Streeter,['r&b'],1694744.0,ec3e1298-23c5-4c39-bb2b-ae6a588afdeb,Person,US,,1986-07-07,,False
1KCSPY1glIKqW2TotWuXOR,P!nk,[],18326448.0,f4d5cc07-3bc9-4836-9b15-88a08359bc63,Person,US,,1979-09-08,American singer/songwriter,False
1qUjOF5fzrpoNycD36b2jZ,Nate Ruess,[],370764.0,a049a513-f794-4b8d-8c3a-f106cfd22841,Person,US,,1982-02-26,,False
0gadJ2b9A4SKsB1RFkBb66,Passenger,['folk pop'],3804874.0,186e216a-2f8a-41a1-935f-8e30c018a8fe,Person,GB,,1984-05-17,"British singer-songwriter Mike Rosenberg, formerly of the band Passenger",False
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,"['bachata', 'latin']",27236634.0,35f343df-3b87-4475-b0e4-d2ba5cc26eea,Person,US,,1981-07-21,lead vocalist of Aventura,False
0SCbttzoZTnLFebDYmAWCm,Glee Cast,['christmas'],1536388.0,29542149-a818-4167-aa91-439adc9d61f5,Group,US,,2009-05-19,,False
4yBK75WVCQXej1p04GWqxH,Jeezy,"['southern hip hop', 'crunk', 'rap', 'gangster rap']",2604425.0,dcad99e7-3c3e-4c78-bf8a-68203e17da48,Person,US,,1977-09-28,"US rapper Jay W Jenkins, f/k/a Young Jeezy",False
7tkwiWhGKSuQV8LwPWceWN,Craig Campbell,"['country', 'acoustic country', 'country christian']",336186.0,57976431-1a5c-4968-a422-b92c5e9b0d4f,Person,US,,1936-04-22,"US country singer, guitarist & actor",False
3vHV92ecrylnUHDM4d2MtC,Tyler Farr,"['country', 'acoustic country']",761711.0,0aa8294b-6332-4b65-b677-e3a1f8591d3b,Person,GB,,1951-06-08,,False
6sCbFbEjbYepqswM1vWjjs,Zendaya,[],5286002.0,5b946a83-b395-4016-b67f-c71690f9a866,Person,US,,1996-09-01,,False
163tK9Wjr9P9DmM0AVK7lm,Lorde,[],10627838.0,8e494408-8620-4c6a-82c2-c2ca4a1e4f12,Person,NZ,,1996-11-07,New Zealand singer‐songwriter,False
